artist,followers,average views
(G)I-DLE,3427262,111014533.6
Adele,37035936,1434805227.2
Angel Olsen,380969,1209369.6
Anitta,11563908,227439703.0
Arctic Monkeys,14316037,323297550.8
BIGBANG,4791362,290956499.8
BTS,48604860,1024846643.6
Becky G,11337120,616810944.6
Billie Eilish,60890312,339578002.6
Bizarrap,5226561,17.0
Camila Cabello,26365755,516680629.4
Carolina Gaitán - La Gaita,27099,2060602.2
Charlie Puth,15901298,418490975.4
Coldplay,35381473,963634364.0
Cris Mj,284972,249308824.2
DDG,697078,18402831.6
DaBaby,9506314,65556137.0
Daddy Yankee,26976402,753202599.6
Danny Ocean,3896005,73880519.2
Del Water Gap,77027,153116.6
Doja Cat,18018886,167453670.6
Dove Cameron,3338709,4909682.5
Drake,62830004,219126646.2
Ed Sheeran,96028479,1422204286.6
Elle King,478053,42960648.8
Elley Duhé,221221,8419632.6
Elton John,9153506,88874665.8
Farruko,12794683,426989667.2
Fivio Foreign,903389,5093286.0
GAYLE,395737,27207722.0
Glass Animals,2744606,60857639.6
Grace Ives,13828,99993.0
Gucci Mane,4286991,11139979.2
Gunna,4210272,11955677.8
Harry Styles,20168557,325619628.4
Her's,531280,95805264.6
Hippo Campus,526426,1672920.6
Hunxho,14887,9.0
IVE,507602,39014230.6
Imagine Dragons,39622045,1090606342.0
J. Cole,16548722,84952676.6
Jack Harlow,1897788,91467174.4
Jay Park,1705400,48152804.6
Jim Jones,551280,5611915.0
Jimin,467534,44538264.0
Juice WRLD,23597630,70187677.6
Justin Bieber,59702196,1210981403.6
Kate Bollinger,41743,37549.2
Key Glock,1177920,9177698.2
Khruangbin,1149174,3899936.6
King Gizzard & The Lizard Wizard,778871,696792.4
Kodak Black,8036772,142922460.6
Latto,768125,7049757.6
Lauren Spencer-Smith,629521,2551270.4
Lil Baby,10259475,85042018.2
Lil Durk,3940385,29551754.0
Lil Nas X,10556081,228303900.8
Lil Tjay,4979106,90515450.8
Lizzo,4493526,84504276.6
Lost Frequencies,2393630,167919781.8
Maggie Rogers,822041,9036100.6
